============================================================
  PREDIKPEDIA -- R-ASISTENCIA LIMPIA / FILTRADO DE INDECISOS
============================================================
[OK] Archivo cargado: 1000 agentes totales
     Columnas: ['ID', 'Region', 'MBTI', 'Veredicto', 'Confianza', 'Volátil', 'R1', 'R2', 'R3']

-- Distribucion original de Veredictos --
  Indeciso                                 829
  Keiko Fujimori                           149
  Rafael López Aliaga                      17
  Voto en Blanco / Nulo                    2
  OTRO CANDIDATO                           2
  Jorge Nieto                              1

[PASO 1] Indecisos identificados: 829
[INFO] Agentes ya decididos (no Indecisos): 171
  [0312/829] PREDIK-PE-0231 (Lima) -> ACTIVO: Indeciso Activo
  [0313/829] PREDIK-PE-0052 (Lima) -> ACTIVO: Indeciso Activo
  [0314/829] PREDIK-PE-0831 (Lima) -> ACTIVO: Indeciso Activo
  [0315/829] PREDIK-PE-0014 (Lima) -> ACTIVO: Indeciso Activo
  [0316/829] PREDIK-PE-0861 (Lima) -> ACTIVO: Indeciso Activo
  [0317/829] PREDIK-PE-0367 (Lima) -> ACTIVO: Indeciso Activo
  [0318/829] PREDIK-PE-0001 (Lima) -> ACTIVO: Indeciso Activo
  [0319/829] PREDIK-PE-0661 (Lima) -> ACTIVO: Indeciso Activo
  [0320/829] PREDIK-PE-0082 (Lima) -> ACTIVO: Indeciso Activo
  [0321/829] PREDIK-PE-0587 (Lima) -> ACTIVO: Indeciso Activo
  [0322/829] PREDIK-PE-0996 (Lima) -> ACTIVO: Indeciso Activo
  [0323/829] PREDIK-PE-0198 (Lima) -> ACTIVO: Indeciso Activo
  [0324/829] PREDIK-PE-0965 (Lima) -> ACTIVO: Indeciso Activo
  [0325/829] PREDIK-PE-0182 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (325 procesados)
  [0326/829] PREDIK-PE-0211 (Lima) -> ACTIVO: Indeciso Activo
  [0327/829] PREDIK-PE-0553 (Lima) -> ACTIVO: Indeciso Activo
  [0328/829] PREDIK-PE-0671 (Lima) -> ACTIVO: Indeciso Activo
  [0329/829] PREDIK-PE-0179 (Lima) -> ACTIVO: Indeciso Activo
  [0330/829] PREDIK-PE-0899 (Lima) -> ACTIVO: Indeciso Activo
  [0331/829] PREDIK-PE-0780 (Lima) -> ACTIVO: Indeciso Activo
  [0332/829] PREDIK-PE-0887 (Lima) -> ACTIVO: Indeciso Activo
  [0333/829] PREDIK-PE-0785 (Lima) -> ACTIVO: Indeciso Activo
  [0334/829] PREDIK-PE-0520 (Lima) -> ACTIVO: Indeciso Activo
  [0335/829] PREDIK-PE-0763 (Lima) -> ACTIVO: Indeciso Activo
  [0336/829] PREDIK-PE-0261 (Lima) -> ACTIVO: Indeciso Activo
  [0337/829] PREDIK-PE-0537 (Lima) -> ACTIVO: Indeciso Activo
  [0338/829] PREDIK-PE-0474 (Lima) -> ACTIVO: Indeciso Activo
  [0339/829] PREDIK-PE-0979 (Lima) -> ACTIVO: Indeciso Activo
  [0340/829] PREDIK-PE-0812 (Lima) -> ACTIVO: Indeciso Activo
  [0341/829] PREDIK-PE-0243 (Lima) -> AUSENTE: Ausente
  [0342/829] PREDIK-PE-0968 (Lima) -> ACTIVO: Indeciso Activo
  [0343/829] PREDIK-PE-0497 (Lima) -> ACTIVO: Indeciso Activo
  [0344/829] PREDIK-PE-0803 (Lima) -> ACTIVO: Indeciso Activo
  [0345/829] PREDIK-PE-0626 (Lima) -> ACTIVO: Indeciso Activo
  [0346/829] PREDIK-PE-0650 (Lima) -> ACTIVO: Indeciso Activo
  [0347/829] PREDIK-PE-0120 (Lima) -> ACTIVO: Indeciso Activo
  [0348/829] PREDIK-PE-0154 (Lima) -> ACTIVO: Indeciso Activo
  [0349/829] PREDIK-PE-0100 (Lima) -> ACTIVO: Indeciso Activo
  [0350/829] PREDIK-PE-0024 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (350 procesados)
  [0351/829] PREDIK-PE-0091 (Lima) -> ACTIVO: Indeciso Activo
  [0352/829] PREDIK-PE-0270 (Lima) -> ACTIVO: Indeciso Activo
  [0353/829] PREDIK-PE-0815 (Lima) -> ACTIVO: Indeciso Activo
  [0354/829] PREDIK-PE-0860 (Lima) -> ACTIVO: Indeciso Activo
  [0355/829] PREDIK-PE-0558 (Lima) -> ACTIVO: Indeciso Activo
  [0356/829] PREDIK-PE-0852 (Lima) -> ACTIVO: Indeciso Activo
  [0357/829] PREDIK-PE-0775 (Lima) -> ACTIVO: Indeciso Activo
  [0358/829] PREDIK-PE-0614 (Lima) -> ACTIVO: Indeciso Activo
  [0359/829] PREDIK-PE-0370 (Lima) -> ACTIVO: Indeciso Activo
  [0360/829] PREDIK-PE-0142 (Lima) -> ACTIVO: Indeciso Activo
  [0361/829] PREDIK-PE-0385 (Lima) -> ACTIVO: Indeciso Activo
  [0362/829] PREDIK-PE-0550 (Lima) -> ACTIVO: Indeciso Activo
  [0363/829] PREDIK-PE-0953 (Lima) -> ACTIVO: Indeciso Activo
  [0364/829] PREDIK-PE-0365 (Lima) -> ACTIVO: Indeciso Activo
  [0365/829] PREDIK-PE-0484 (Lima) -> ACTIVO: Indeciso Activo
  [0366/829] PREDIK-PE-0728 (Lima) -> ACTIVO: Indeciso Activo
  [0367/829] PREDIK-PE-0313 (Lima) -> ACTIVO: Indeciso Activo
  [0368/829] PREDIK-PE-0597 (Lima) -> ACTIVO: Indeciso Activo
  [0369/829] PREDIK-PE-0398 (Lima) -> ACTIVO: Indeciso Activo
  [0370/829] PREDIK-PE-0565 (Lima) -> ACTIVO: Indeciso Activo
  [0371/829] PREDIK-PE-0494 (Lima) -> ACTIVO: Indeciso Activo
  [0372/829] PREDIK-PE-0193 (Lima) -> ACTIVO: Indeciso Activo
  [0373/829] PREDIK-PE-0743 (Lima) -> ACTIVO: Indeciso Activo
  [0374/829] PREDIK-PE-0036 (Lima) -> ACTIVO: Indeciso Activo
  [0375/829] PREDIK-PE-0140 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (375 procesados)
  [0376/829] PREDIK-PE-0971 (Lima) -> ACTIVO: Indeciso Activo
  [0377/829] PREDIK-PE-0706 (Lima) -> ACTIVO: Indeciso Activo
  [0378/829] PREDIK-PE-0233 (Lima) -> ACTIVO: Indeciso Activo
  [0379/829] PREDIK-PE-0567 (Lima) -> ACTIVO: Indeciso Activo
  [0380/829] PREDIK-PE-0499 (Lima) -> ACTIVO: Indeciso Activo
  [0381/829] PREDIK-PE-0322 (Lima) -> ACTIVO: Indeciso Activo
  [0382/829] PREDIK-PE-0223 (Lima) -> ACTIVO: Indeciso Activo
  [0383/829] PREDIK-PE-0189 (Lima) -> ACTIVO: Indeciso Activo
  [0384/829] PREDIK-PE-0058 (Lima) -> ACTIVO: Indeciso Activo
  [0385/829] PREDIK-PE-0513 (Lima) -> ACTIVO: Indeciso Activo
  [0386/829] PREDIK-PE-0914 (Lima) -> ACTIVO: Indeciso Activo
  [0387/829] PREDIK-PE-0575 (Lima) -> ACTIVO: Indeciso Activo
  [0388/829] PREDIK-PE-0124 (Lima) -> ACTIVO: Indeciso Activo
  [0389/829] PREDIK-PE-0813 (Lima) -> ACTIVO: Indeciso Activo
  [0390/829] PREDIK-PE-0877 (Lima) -> ACTIVO: Indeciso Activo
  [0391/829] PREDIK-PE-0410 (Lima) -> ACTIVO: Indeciso Activo
  [0392/829] PREDIK-PE-0299 (Lima) -> ACTIVO: Indeciso Activo
  [0393/829] PREDIK-PE-0828 (Lima) -> ACTIVO: Indeciso Activo
  [0394/829] PREDIK-PE-0492 (Lima) -> ACTIVO: Indeciso Activo
  [0395/829] PREDIK-PE-0502 (Lima) -> ACTIVO: Indeciso Activo
  [0396/829] PREDIK-PE-0266 (Lima) -> ACTIVO: Indeciso Activo
  [0397/829] PREDIK-PE-0716 (Lima) -> ACTIVO: Indeciso Activo
  [0398/829] PREDIK-PE-0836 (Lima) -> ACTIVO: Indeciso Activo
  [0399/829] PREDIK-PE-0655 (Lima) -> ACTIVO: Indeciso Activo
  [0400/829] PREDIK-PE-0258 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (400 procesados)
  [0401/829] PREDIK-PE-0448 (Lima) -> ACTIVO: Indeciso Activo
  [0402/829] PREDIK-PE-0358 (Lima) -> ACTIVO: Indeciso Activo
  [0403/829] PREDIK-PE-0111 (Lima) -> ACTIVO: Indeciso Activo
  [0404/829] PREDIK-PE-0317 (Lima) -> ACTIVO: Indeciso Activo
  [0405/829] PREDIK-PE-0570 (Lima) -> ACTIVO: Indeciso Activo
  [0406/829] PREDIK-PE-0359 (Lima) -> ACTIVO: Indeciso Activo
  [0407/829] PREDIK-PE-0433 (Lima) -> ACTIVO: Indeciso Activo
  [0408/829] PREDIK-PE-0424 (Lima) -> ACTIVO: Indeciso Activo
  [0409/829] PREDIK-PE-0342 (Lima) -> ACTIVO: Indeciso Activo
  [0410/829] PREDIK-PE-0422 (Lima) -> ACTIVO: Indeciso Activo
  [0411/829] PREDIK-PE-0770 (Lima) -> ACTIVO: Indeciso Activo
  [0412/829] PREDIK-PE-0035 (Lima) -> ACTIVO: Indeciso Activo
  [0413/829] PREDIK-PE-0239 (Lima) -> ACTIVO: Indeciso Activo
  [0414/829] PREDIK-PE-0372 (Lima) -> ACTIVO: Indeciso Activo
  [0415/829] PREDIK-PE-0627 (Lima) -> ACTIVO: Indeciso Activo
  [0416/829] PREDIK-PE-0038 (Lima) -> ACTIVO: Indeciso Activo
  [0417/829] PREDIK-PE-0103 (Lima) -> ACTIVO: Indeciso Activo
  [0418/829] PREDIK-PE-0568 (Lima) -> ACTIVO: Indeciso Activo
  [0419/829] PREDIK-PE-0891 (Lima) -> ACTIVO: Indeciso Activo
  [0420/829] PREDIK-PE-0460 (Lima) -> ACTIVO: Indeciso Activo
  [0421/829] PREDIK-PE-0259 (Lima) -> ACTIVO: Indeciso Activo
  [0422/829] PREDIK-PE-0216 (Lima) -> ACTIVO: Indeciso Activo
  [0423/829] PREDIK-PE-0984 (Lima) -> ACTIVO: Indeciso Activo
  [0424/829] PREDIK-PE-0855 (Lima) -> ACTIVO: Indeciso Activo
  [0425/829] PREDIK-PE-0426 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (425 procesados)
  [0426/829] PREDIK-PE-0205 (Lima) -> ACTIVO: Indeciso Activo
  [0427/829] PREDIK-PE-0160 (Lima) -> ACTIVO: Indeciso Activo
  [0428/829] PREDIK-PE-0713 (Lima) -> ACTIVO: Indeciso Activo
  [0429/829] PREDIK-PE-0761 (Lima) -> ACTIVO: Indeciso Activo
  [0430/829] PREDIK-PE-0641 (Lima) -> AUSENTE: Ausente
  [0431/829] PREDIK-PE-0262 (Lima) -> ACTIVO: Indeciso Activo
  [0432/829] PREDIK-PE-0381 (Lima) -> ACTIVO: Indeciso Activo
  [0433/829] PREDIK-PE-0907 (Lima) -> ACTIVO: Indeciso Activo
  [0434/829] PREDIK-PE-0020 (Lima) -> ACTIVO: Indeciso Activo
  [0435/829] PREDIK-PE-0148 (Lima) -> ACTIVO: Indeciso Activo
  [0436/829] PREDIK-PE-0305 (Lima) -> ACTIVO: Indeciso Activo
  [0437/829] PREDIK-PE-0403 (Lima) -> ACTIVO: Indeciso Activo
  [0438/829] PREDIK-PE-0908 (Lima) -> ACTIVO: Indeciso Activo
  [0439/829] PREDIK-PE-0389 (Lima) -> ACTIVO: Indeciso Activo
  [0440/829] PREDIK-PE-0349 (Lima) -> ACTIVO: Indeciso Activo
  [0441/829] PREDIK-PE-0665 (Lima) -> ACTIVO: Indeciso Activo
  [0442/829] PREDIK-PE-0185 (Lima) -> ACTIVO: Indeciso Activo
  [0443/829] PREDIK-PE-0982 (Lima) -> ACTIVO: Indeciso Activo
  [0444/829] PREDIK-PE-0478 (Lima) -> ACTIVO: Indeciso Activo
  [0445/829] PREDIK-PE-0129 (Lima) -> ACTIVO: Indeciso Activo
  [0446/829] PREDIK-PE-0631 (Lima) -> ACTIVO: Indeciso Activo
  [0447/829] PREDIK-PE-0678 (Lima) -> ACTIVO: Indeciso Activo
  [0448/829] PREDIK-PE-0535 (Lima) -> ACTIVO: Indeciso Activo
  [0449/829] PREDIK-PE-0945 (Lima) -> ACTIVO: Indeciso Activo
  [0450/829] PREDIK-PE-0121 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (450 procesados)
  [0451/829] PREDIK-PE-0117 (Lima) -> ACTIVO: Indeciso Activo
  [0452/829] PREDIK-PE-0102 (Lima) -> ACTIVO: Indeciso Activo
  [0453/829] PREDIK-PE-0362 (Lima) -> ACTIVO: Indeciso Activo
  [0454/829] PREDIK-PE-0693 (Lima) -> ACTIVO: Indeciso Activo
  [0455/829] PREDIK-PE-0065 (Lima) -> ACTIVO: Indeciso Activo
  [0456/829] PREDIK-PE-0054 (Lima) -> ACTIVO: Indeciso Activo
  [0457/829] PREDIK-PE-0987 (Lima) -> ACTIVO: Indeciso Activo
  [0458/829] PREDIK-PE-0338 (Lima) -> ACTIVO: Indeciso Activo
  [0459/829] PREDIK-PE-0028 (Lima) -> ACTIVO: Indeciso Activo
  [0460/829] PREDIK-PE-0646 (Lima) -> ACTIVO: Indeciso Activo
  [0461/829] PREDIK-PE-0094 (Lima) -> ACTIVO: Indeciso Activo
  [0462/829] PREDIK-PE-0061 (Lima) -> ACTIVO: Indeciso Activo
  [0463/829] PREDIK-PE-0880 (Lima) -> ACTIVO: Indeciso Activo
  [0464/829] PREDIK-PE-0788 (Lima) -> ACTIVO: Indeciso Activo
  [0465/829] PREDIK-PE-0116 (Lima) -> ACTIVO: Indeciso Activo
  [0466/829] PREDIK-PE-0976 (Lima) -> ACTIVO: Indeciso Activo
  [0467/829] PREDIK-PE-0680 (Lima) -> ACTIVO: Indeciso Activo
  [0468/829] PREDIK-PE-0015 (Lima) -> ACTIVO: Indeciso Activo
  [0469/829] PREDIK-PE-0295 (Lima) -> ACTIVO: Indeciso Activo
  [0470/829] PREDIK-PE-0867 (Lima) -> ACTIVO: Indeciso Activo
  [0471/829] PREDIK-PE-0834 (Lima) -> ACTIVO: Indeciso Activo
  [0472/829] PREDIK-PE-0847 (Lima) -> ACTIVO: Indeciso Activo
  [0473/829] PREDIK-PE-0010 (Lima) -> ACTIVO: Indeciso Activo
  [0474/829] PREDIK-PE-0603 (Lima) -> ACTIVO: Indeciso Activo
  [0475/829] PREDIK-PE-0643 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (475 procesados)
  [0476/829] PREDIK-PE-0224 (Lima) -> ACTIVO: Indeciso Activo
  [0477/829] PREDIK-PE-0405 (Lima) -> ACTIVO: Indeciso Activo
  [0478/829] PREDIK-PE-0720 (Lima) -> ACTIVO: Indeciso Activo
  [0479/829] PREDIK-PE-0817 (Lima) -> ACTIVO: Indeciso Activo
  [0480/829] PREDIK-PE-0611 (Lima) -> ACTIVO: Indeciso Activo
  [0481/829] PREDIK-PE-0025 (Lima) -> ACTIVO: Indeciso Activo
  [0482/829] PREDIK-PE-0019 (Lima) -> ACTIVO: Indeciso Activo
  [0483/829] PREDIK-PE-0869 (Lima) -> ACTIVO: Indeciso Activo
  [0484/829] PREDIK-PE-0663 (Lima) -> ACTIVO: Indeciso Activo
  [0485/829] PREDIK-PE-0623 (Lima) -> ACTIVO: Indeciso Activo
  [0486/829] PREDIK-PE-0302 (Lima) -> ACTIVO: Indeciso Activo
  [0487/829] PREDIK-PE-0562 (Lima) -> ACTIVO: Indeciso Activo
  [0488/829] PREDIK-PE-0046 (Lima) -> ACTIVO: Indeciso Activo
  [0489/829] PREDIK-PE-0978 (Lima) -> ACTIVO: Indeciso Activo
  [0490/829] PREDIK-PE-0548 (Lima) -> ACTIVO: Indeciso Activo
  [0491/829] PREDIK-PE-0714 (Lima) -> ACTIVO: Indeciso Activo
  [0492/829] PREDIK-PE-0081 (Lima) -> ACTIVO: Indeciso Activo
  [0493/829] PREDIK-PE-0739 (Lima) -> ACTIVO: Indeciso Activo
  [0494/829] PREDIK-PE-0034 (Lima) -> ACTIVO: Indeciso Activo
  [0495/829] PREDIK-PE-0421 (Lima) -> ACTIVO: Indeciso Activo
  [0496/829] PREDIK-PE-0340 (Lima) -> ACTIVO: Indeciso Activo
  [0497/829] PREDIK-PE-0695 (Lima) -> ACTIVO: Indeciso Activo
  [0498/829] PREDIK-PE-0948 (Lima) -> ACTIVO: Indeciso Activo
  [0499/829] PREDIK-PE-0856 (Lima) -> ACTIVO: Indeciso Activo
  [0500/829] PREDIK-PE-0751 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (500 procesados)
  [0501/829] PREDIK-PE-0485 (Lima) -> ACTIVO: Indeciso Activo
  [0502/829] PREDIK-PE-0417 (Lima) -> ACTIVO: Indeciso Activo
  [0503/829] PREDIK-PE-0593 (Lima) -> ACTIVO: Indeciso Activo
  [0504/829] PREDIK-PE-0882 (Lima) -> ACTIVO: Indeciso Activo
  [0505/829] PREDIK-PE-0574 (Lima) -> ACTIVO: Indeciso Activo
  [0506/829] PREDIK-PE-0799 (Lima) -> ACTIVO: Indeciso Activo
  [0507/829] PREDIK-PE-0284 (Lima) -> ACTIVO: Indeciso Activo
  [0508/829] PREDIK-PE-0408 (Lima) -> ACTIVO: Indeciso Activo
  [0509/829] PREDIK-PE-0017 (Lima) -> ACTIVO: Indeciso Activo
  [0510/829] PREDIK-PE-0645 (Lima) -> ACTIVO: Indeciso Activo
  [0511/829] PREDIK-PE-0901 (Lima) -> ACTIVO: Indeciso Activo
  [0512/829] PREDIK-PE-0219 (Lima) -> ACTIVO: Indeciso Activo
  [0513/829] PREDIK-PE-0427 (Lima) -> ACTIVO: Indeciso Activo
  [0514/829] PREDIK-PE-0373 (Lima) -> ACTIVO: Indeciso Activo
  [0515/829] PREDIK-PE-0683 (Lima) -> ACTIVO: Indeciso Activo
  [0516/829] PREDIK-PE-0786 (Lima) -> ACTIVO: Indeciso Activo
  [0517/829] PREDIK-PE-0180 (Lima) -> ACTIVO: Indeciso Activo
  [0518/829] PREDIK-PE-0557 (Lima) -> ACTIVO: Indeciso Activo
  [0519/829] PREDIK-PE-0281 (Lima) -> ACTIVO: Indeciso Activo
  [0520/829] PREDIK-PE-0922 (Lima) -> ACTIVO: Indeciso Activo
  [0521/829] PREDIK-PE-0449 (Lima) -> ACTIVO: Indeciso Activo
  [0522/829] PREDIK-PE-0644 (Lima) -> ACTIVO: Indeciso Activo
  [0523/829] PREDIK-PE-0249 (Lima) -> ACTIVO: Indeciso Activo
  [0524/829] PREDIK-PE-0735 (Lima) -> ACTIVO: Indeciso Activo
  [0525/829] PREDIK-PE-0632 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (525 procesados)
  [0526/829] PREDIK-PE-0344 (Lima) -> ACTIVO: Indeciso Activo
  [0527/829] PREDIK-PE-0327 (Lima) -> ACTIVO: Indeciso Activo
  [0528/829] PREDIK-PE-0778 (Lima) -> ACTIVO: Indeciso Activo
  [0529/829] PREDIK-PE-0002 (Lima) -> ACTIVO: Indeciso Activo
  [0530/829] PREDIK-PE-0777 (Lima) -> ACTIVO: Indeciso Activo
  [0531/829] PREDIK-PE-0656 (Lima) -> ACTIVO: Indeciso Activo
  [0532/829] PREDIK-PE-0442 (Lima) -> ACTIVO: Indeciso Activo
  [0533/829] PREDIK-PE-0591 (Lima) -> ACTIVO: Indeciso Activo
  [0534/829] PREDIK-PE-0771 (Lima) -> ACTIVO: Indeciso Activo
  [0535/829] PREDIK-PE-0944 (Lima) -> ACTIVO: Indeciso Activo
  [0536/829] PREDIK-PE-0798 (Lima) -> ACTIVO: Indeciso Activo
  [0537/829] PREDIK-PE-0583 (Lima) -> ACTIVO: Indeciso Activo
  [0538/829] PREDIK-PE-0919 (Lima) -> ACTIVO: Indeciso Activo
  [0539/829] PREDIK-PE-0875 (Lima) -> ACTIVO: Indeciso Activo
  [0540/829] PREDIK-PE-0733 (Lima) -> ACTIVO: Indeciso Activo
  [0541/829] PREDIK-PE-0364 (Lima) -> ACTIVO: Indeciso Activo
  [0542/829] PREDIK-PE-0609 (Lima) -> ACTIVO: Indeciso Activo
  [0543/829] PREDIK-PE-0915 (Lima) -> ACTIVO: Indeciso Activo
  [0544/829] PREDIK-PE-0004 (Lima) -> ACTIVO: Indeciso Activo
  [0545/829] PREDIK-PE-0208 (Lima) -> ACTIVO: Indeciso Activo
  [0546/829] PREDIK-PE-0390 (Lima) -> ACTIVO: Indeciso Activo
  [0547/829] PREDIK-PE-0132 (Lima) -> ACTIVO: Indeciso Activo
  [0548/829] PREDIK-PE-0267 (Lima) -> ACTIVO: Indeciso Activo
  [0549/829] PREDIK-PE-0391 (Lima) -> ACTIVO: Indeciso Activo
  [0550/829] PREDIK-PE-0868 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (550 procesados)
  [0551/829] PREDIK-PE-0719 (Lima) -> ACTIVO: Indeciso Activo
  [0552/829] PREDIK-PE-0048 (Lima) -> ACTIVO: Indeciso Activo
  [0553/829] PREDIK-PE-0056 (Lima) -> ACTIVO: Indeciso Activo
  [0554/829] PREDIK-PE-0970 (Lima) -> ACTIVO: Indeciso Activo
  [0555/829] PREDIK-PE-0168 (Lima) -> ACTIVO: Indeciso Activo
  [0556/829] PREDIK-PE-0776 (Lima) -> ACTIVO: Indeciso Activo
  [0557/829] PREDIK-PE-0288 (Lima) -> ACTIVO: Indeciso Activo
  [0558/829] PREDIK-PE-0147 (Lima) -> ACTIVO: Indeciso Activo
  [0559/829] PREDIK-PE-0476 (Lima) -> ACTIVO: Indeciso Activo
  [0560/829] PREDIK-PE-0796 (Lima) -> ACTIVO: Indeciso Activo
  [0561/829] PREDIK-PE-0932 (Lima) -> ACTIVO: Indeciso Activo
  [0562/829] PREDIK-PE-0108 (Lima) -> ACTIVO: Indeciso Activo
  [0563/829] PREDIK-PE-0013 (Lima) -> ACTIVO: Indeciso Activo
  [0564/829] PREDIK-PE-0136 (Lima) -> ACTIVO: Indeciso Activo
  [0565/829] PREDIK-PE-0092 (Lima) -> ACTIVO: Indeciso Activo
  [0566/829] PREDIK-PE-0387 (Lima) -> ACTIVO: Indeciso Activo
  [0567/829] PREDIK-PE-0462 (Lima) -> ACTIVO: Indeciso Activo
  [0568/829] PREDIK-PE-0311 (Lima) -> ACTIVO: Indeciso Activo
  [0569/829] PREDIK-PE-0495 (Lima) -> ACTIVO: Indeciso Activo
  [0570/829] PREDIK-PE-0704 (Lima) -> ACTIVO: Indeciso Activo
  [0571/829] PREDIK-PE-0425 (Lima) -> ACTIVO: Indeciso Activo
  [0572/829] PREDIK-PE-0541 (Lima) -> ACTIVO: Indeciso Activo
  [0573/829] PREDIK-PE-0328 (Lima) -> ACTIVO: Indeciso Activo
  [0574/829] PREDIK-PE-0684 (Lima) -> ACTIVO: Indeciso Activo
  [0575/829] PREDIK-PE-0412 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (575 procesados)
  [0576/829] PREDIK-PE-0257 (Lima) -> ACTIVO: Indeciso Activo
  [0577/829] PREDIK-PE-0629 (Lima) -> ACTIVO: Indeciso Activo
  [0578/829] PREDIK-PE-0619 (Lima) -> ACTIVO: Indeciso Activo
  [0579/829] PREDIK-PE-0063 (Lima) -> ACTIVO: Indeciso Activo
  [0580/829] PREDIK-PE-0581 (Lima) -> ACTIVO: Indeciso Activo
  [0581/829] PREDIK-PE-0450 (Lima) -> ACTIVO: Indeciso Activo
  [0582/829] PREDIK-PE-0560 (Lima) -> ACTIVO: Indeciso Activo
  [0583/829] PREDIK-PE-0909 (Lima) -> ACTIVO: Indeciso Activo
  [0584/829] PREDIK-PE-0977 (Lima) -> ACTIVO: Indeciso Activo
  [0585/829] PREDIK-PE-0388 (Lima) -> ACTIVO: Indeciso Activo
  [0586/829] PREDIK-PE-0930 (Lima) -> ACTIVO: Indeciso Activo
  [0587/829] PREDIK-PE-0876 (Lima) -> ACTIVO: Indeciso Activo
  [0588/829] PREDIK-PE-0599 (Lima) -> ACTIVO: Indeciso Activo
  [0589/829] PREDIK-PE-0347 (Lima) -> ACTIVO: Indeciso Activo
  [0590/829] PREDIK-PE-0037 (Lima) -> ACTIVO: Indeciso Activo
  [0591/829] PREDIK-PE-0123 (Lima) -> ACTIVO: Indeciso Activo
  [0592/829] PREDIK-PE-0897 (Lima) -> ACTIVO: Indeciso Activo
  [0593/829] PREDIK-PE-0352 (Lima) -> ACTIVO: Indeciso Activo
  [0594/829] PREDIK-PE-0244 (Lima) -> ACTIVO: Indeciso Activo
  [0595/829] PREDIK-PE-0607 (Lima) -> ACTIVO: Indeciso Activo
  [0596/829] PREDIK-PE-0336 (Lima) -> ACTIVO: Indeciso Activo
  [0597/829] PREDIK-PE-0238 (Lima) -> ACTIVO: Indeciso Activo
  [0598/829] PREDIK-PE-0522 (Lima) -> ACTIVO: Indeciso Activo
  [0599/829] PREDIK-PE-0707 (Lima) -> ACTIVO: Indeciso Activo
  [0600/829] PREDIK-PE-0348 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (600 procesados)
  [0601/829] PREDIK-PE-0725 (Lima) -> ACTIVO: Indeciso Activo
  [0602/829] PREDIK-PE-0854 (Lima) -> ACTIVO: Indeciso Activo
  [0603/829] PREDIK-PE-0253 (Lima) -> ACTIVO: Indeciso Activo
  [0604/829] PREDIK-PE-0582 (Lima) -> ACTIVO: Indeciso Activo
  [0605/829] PREDIK-PE-0419 (Lima) -> ACTIVO: Indeciso Activo
  [0606/829] PREDIK-PE-0764 (Lima) -> ACTIVO: Indeciso Activo
  [0607/829] PREDIK-PE-0600 (Lima) -> ACTIVO: Indeciso Activo
  [0608/829] PREDIK-PE-0849 (Lima) -> ACTIVO: Indeciso Activo
  [0609/829] PREDIK-PE-0086 (Lima) -> ACTIVO: Indeciso Activo
  [0610/829] PREDIK-PE-0523 (Lima) -> ACTIVO: Indeciso Activo
  [0611/829] PREDIK-PE-0682 (Lima) -> ACTIVO: Indeciso Activo
  [0612/829] PREDIK-PE-0042 (Lima) -> ACTIVO: Indeciso Activo
  [0613/829] PREDIK-PE-0018 (Lima) -> ACTIVO: Indeciso Activo
  [0614/829] PREDIK-PE-0768 (Lima) -> ACTIVO: Indeciso Activo
  [0615/829] PREDIK-PE-0273 (Lima) -> ACTIVO: Indeciso Activo
  [0616/829] PREDIK-PE-0511 (Lima) -> ACTIVO: Indeciso Activo
  [0617/829] PREDIK-PE-0274 (Lima) -> ACTIVO: Indeciso Activo
  [0618/829] PREDIK-PE-0927 (Lima) -> ACTIVO: Indeciso Activo
  [0619/829] PREDIK-PE-0360 (Lima) -> ACTIVO: Indeciso Activo
  [0620/829] PREDIK-PE-0414 (Lima) -> ACTIVO: Indeciso Activo
  [0621/829] PREDIK-PE-0503 (Lima) -> ACTIVO: Indeciso Activo
  [0622/829] PREDIK-PE-0571 (Lima) -> ACTIVO: Indeciso Activo
  [0623/829] PREDIK-PE-0090 (Lima) -> ACTIVO: Indeciso Activo
  [0624/829] PREDIK-PE-0750 (Lima) -> ACTIVO: Indeciso Activo
  [0625/829] PREDIK-PE-0843 (Lima) -> ACTIVO: Indeciso Activo
           [CKP] Checkpoint guardado (625 procesados)
  [0626/829] PREDIK-PE-0380 (Lima) -> ACTIVO: Indeciso Activo
  [0627/829] PREDIK-PE-0779 (Lima) -> ACTIVO: Indeciso Activo
  [0628/829] PREDIK-PE-0586 (Lima) -> ACTIVO: Indeciso Activo
  [0629/829] PREDIK-PE-0323 (Lima) -> ACTIVO: Indeciso Activo
  [0630/829] PREDIK-PE-0705 (Lima) -> ACTIVO: Indeciso Activo
